original_file_name,id_A,id_B,sentence_count_A,sentence_count_B,level_A,level_B,collab_score_avg_A,collab_score_avg_B,fragment_count_A,fragment_count_B,fragment_count_all,fragments_A,fragments_B,fragments_all
,,,,,,,,,,,,,The second ads, huh?,
,,,,,,,,,,,,,, Yeah
,,,,,,,,,,,,,,Need to
,,,,,,,,,,,,,,Stop people smoking
,,,,,,,,,,,,,,The second ads, huh?
,,,,,,,,,,,,,,Yeah sure
02248&02259_A.txt,A248,B259,9,8,1,1,3,3,2,5,7,,,
,,,,,,,,,,,, Hi B,,
,,,,,,,,,,,,Wel- welcome,,
,,,,,,,,,,,,, Fine B,
,,,,,,,,,,,,,Hi A,
,,,,,,,,,,,,,Why?,
,,,,,,,,,,,,,And so?,
,,,,,,,,,,,,,Why B?,
,,,,,,,,,,,,,, Fine B
,,,,,,,,,,,,,,Hi A
,,,,,,,,,,,,,,Why?
,,,,,,,,,,,,,,Hi B
,,,,,,,,,,,,,,Wel- welcome
,,,,,,,,,,,,,,And so?
,,,,,,,,,,,,,,Why B?
02255&02206_A.txt,A255,B206,27,30,1,1,4,4,8,10,16,,,
,,,,,,,,,,,, Yeah,,
,,,,,,,,,,,,Nice,,
,,,,,,,,,,,,It's WW,,
,,,,,,,,,,,,Okay,,
,,,,,,,,,,,,How?,,
,,,,,,,,,,,,Discount,,
,,,,,,,,,,,,Really?,,
,,,,,,,,,,,,Uh online,,
,,,,,,,,,,,,, Wow tell me about it,
,,,,,,,,,,,,,Okay go ahead,
,,,,,,,,,,,,,Yeah,
,,,,,,,,,,,,,Oh nice,
,,,,,,,,,,,,,One hundred and fifty dollars,
,,,,,,,,,,,,,Uh the New camera at uh com,
,,,,,,,,,,,,,Uh-huh,
,,,,,,,,,,,,,Discount,
,,,,,,,,,,,,,Yeah online,
,,,,,,,,,,,,,Okay,
,,,,,,,,,,,,,, Wow tell me about it
,,,,,,,,,,,,,,Okay go ahead
,,,,,,,,,,,,,,Yeah
,,,,,,,,,,,,,,Oh nice
,,,,,,,,,,,,,,Nice
,,,,,,,,,,,,,,One hundred and fifty dollars
